"";"GeoIso";"Citizen";"Decision";"Count";"latitude";"longitude";"name"
"255";"NO";"SY";"SUB_PROT";0;60,472024;8,468946;"Norway"
"256";"CH";"SY";"SUB_PROT";20;46,818188;8,227512;"Switzerland"
"257";"BE";"SY";"HUMSTAT";NA;50,503887;4,469936;"Belgium"
"258";"BG";"SY";"HUMSTAT";NA;42,733883;25,48583;"Bulgaria"
"259";"CZ";"SY";"HUMSTAT";0;49,817492;15,472962;"Czech Republic"
"260";"DK";"SY";"HUMSTAT";0;56,26392;9,501785;"Denmark"
"261";"DE";"SY";"HUMSTAT";485;51,165691;10,451526;"Germany"
"262";"EE";"SY";"HUMSTAT";0;58,595272;25,013607;"Estonia"
"263";"IE";"SY";"HUMSTAT";NA;53,41291;-8,24389;"Ireland"
"264";"EL";"SY";"HUMSTAT";0;39,074208;21,824312;"Greece"
"265";"ES";"SY";"HUMSTAT";0;40,463667;-3,74922;"Spain"
"266";"FR";"SY";"HUMSTAT";NA;46,227638;2,213749;"France"
"267";"HR";"SY";"HUMSTAT";0;45,1;15,2;"Croatia"
"268";"IT";"SY";"HUMSTAT";0;41,87194;12,56738;"Italy"
"269";"CY";"SY";"HUMSTAT";0;35,126413;33,429859;"Cyprus"
"270";"LV";"SY";"HUMSTAT";NA;56,879635;24,603189;"Latvia"
"271";"LT";"SY";"HUMSTAT";0;55,169438;23,881275;"Lithuania"
"272";"LU";"SY";"HUMSTAT";NA;49,815273;6,129583;"Luxembourg"
"273";"HU";"SY";"HUMSTAT";0;47,162494;19,503304;"Hungary"
"274";"MT";"SY";"HUMSTAT";0;35,937496;14,375416;"Malta"
"275";"NL";"SY";"HUMSTAT";5;52,132633;5,291266;"Netherlands"
"276";"AT";"SY";"HUMSTAT";0;47,516231;14,550072;"Austria"
"277";"PL";"SY";"HUMSTAT";0;51,919438;19,145136;"Poland"
"278";"PT";"SY";"HUMSTAT";NA;39,399872;-8,224454;"Portugal"
"279";"RO";"SY";"HUMSTAT";0;45,943161;24,96676;"Romania"
"280";"SI";"SY";"HUMSTAT";NA;46,151241;14,995463;"Slovenia"
"281";"SK";"SY";"HUMSTAT";0;48,669026;19,699024;"Slovakia"
"282";"FI";"SY";"HUMSTAT";0;61,92411;25,748151;"Finland"
"283";"SE";"SY";"HUMSTAT";10;60,128161;18,643501;"Sweden"
"284";"UK";"SY";"HUMSTAT";0;55,378051;-3,435973;"United Kingdom"
"285";"IS";"SY";"HUMSTAT";0;64,963051;-19,020835;"Iceland"
"286";"LI";"SY";"HUMSTAT";0;47,166;9,555373;"Liechtenstein"
"287";"NO";"SY";"HUMSTAT";5;60,472024;8,468946;"Norway"
"288";"CH";"SY";"HUMSTAT";270;46,818188;8,227512;"Switzerland"
"289";"BE";"SY";"GENCONV";710;50,503887;4,469936;"Belgium"
"290";"BG";"SY";"GENCONV";245;42,733883;25,48583;"Bulgaria"
"291";"CZ";"SY";"GENCONV";0;49,817492;15,472962;"Czech Republic"
"292";"DK";"SY";"GENCONV";260;56,26392;9,501785;"Denmark"
"293";"DE";"SY";"GENCONV";24620;51,165691;10,451526;"Germany"
"294";"EE";"SY";"GENCONV";10;58,595272;25,013607;"Estonia"
"295";"IE";"SY";"GENCONV";45;53,41291;-8,24389;"Ireland"
"296";"EL";"SY";"GENCONV";965;39,074208;21,824312;"Greece"
"297";"ES";"SY";"GENCONV";20;40,463667;-3,74922;"Spain"
"298";"FR";"SY";"GENCONV";580;46,227638;2,213749;"France"
"299";"HR";"SY";"GENCONV";5;45,1;15,2;"Croatia"
"300";"IT";"SY";"GENCONV";270;41,87194;12,56738;"Italy"
"301";"CY";"SY";"GENCONV";15;35,126413;33,429859;"Cyprus"
"302";"LV";"SY";"GENCONV";5;56,879635;24,603189;"Latvia"
"303";"LT";"SY";"GENCONV";95;55,169438;23,881275;"Lithuania"
"304";"LU";"SY";"GENCONV";155;49,815273;6,129583;"Luxembourg"
"305";"HU";"SY";"GENCONV";0;47,162494;19,503304;"Hungary"
"306";"MT";"SY";"GENCONV";10;35,937496;14,375416;"Malta"
"307";"NL";"SY";"GENCONV";260;52,132633;5,291266;"Netherlands"
"308";"AT";"SY";"GENCONV";4895;47,516231;14,550072;"Austria"
"309";"PL";"SY";"GENCONV";5;51,919438;19,145136;"Poland"
"310";"PT";"SY";"GENCONV";20;39,399872;-8,224454;"Portugal"
"311";"RO";"SY";"GENCONV";195;45,943161;24,96676;"Romania"
"312";"SI";"SY";"GENCONV";25;46,151241;14,995463;"Slovenia"
"313";"SK";"SY";"GENCONV";0;48,669026;19,699024;"Slovakia"
"314";"FI";"SY";"GENCONV";245;61,92411;25,748151;"Finland"
"315";"SE";"SY";"GENCONV";1240;60,128161;18,643501;"Sweden"
"316";"UK";"SY";"GENCONV";270;55,378051;-3,435973;"United Kingdom"
"317";"IS";"SY";"GENCONV";5;64,963051;-19,020835;"Iceland"
"318";"LI";"SY";"GENCONV";0;47,166;9,555373;"Liechtenstein"
"319";"NO";"SY";"GENCONV";1725;60,472024;8,468946;"Norway"
"320";"CH";"SY";"GENCONV";210;46,818188;8,227512;"Switzerland"
"321";"BE";"IQ";"TOTAL";1510;50,503887;4,469936;"Belgium"
"322";"BG";"IQ";"TOTAL";200;42,733883;25,48583;"Bulgaria"
"323";"CZ";"IQ";"TOTAL";10;49,817492;15,472962;"Czech Republic"
"324";"DK";"IQ";"TOTAL";325;56,26392;9,501785;"Denmark"
"325";"DE";"IQ";"TOTAL";29360;51,165691;10,451526;"Germany"
"326";"EE";"IQ";"TOTAL";0;58,595272;25,013607;"Estonia"
"327";"IE";"IQ";"TOTAL";15;53,41291;-8,24389;"Ireland"
"328";"EL";"IQ";"TOTAL";35;39,074208;21,824312;"Greece"
"329";"ES";"IQ";"TOTAL";50;40,463667;-3,74922;"Spain"
"330";"FR";"IQ";"TOTAL";795;46,227638;2,213749;"France"
"331";"HR";"IQ";"TOTAL";10;45,1;15,2;"Croatia"
"332";"IT";"IQ";"TOTAL";290;41,87194;12,56738;"Italy"
"333";"CY";"IQ";"TOTAL";5;35,126413;33,429859;"Cyprus"
"334";"LV";"IQ";"TOTAL";0;56,879635;24,603189;"Latvia"
"335";"LT";"IQ";"TOTAL";10;55,169438;23,881275;"Lithuania"
"336";"LU";"IQ";"TOTAL";95;49,815273;6,129583;"Luxembourg"
"337";"HU";"IQ";"TOTAL";285;47,162494;19,503304;"Hungary"
"338";"MT";"IQ";"TOTAL";5;35,937496;14,375416;"Malta"
"339";"NL";"IQ";"TOTAL";490;52,132633;5,291266;"Netherlands"
"340";"AT";"IQ";"TOTAL";1230;47,516231;14,550072;"Austria"
"341";"PL";"IQ";"TOTAL";0;51,919438;19,145136;"Poland"
"342";"PT";"IQ";"TOTAL";0;39,399872;-8,224454;"Portugal"
"343";"RO";"IQ";"TOTAL";55;45,943161;24,96676;"Romania"
"344";"SI";"IQ";"TOTAL";15;46,151241;14,995463;"Slovenia"
"345";"SK";"IQ";"TOTAL";0;48,669026;19,699024;"Slovakia"
"346";"FI";"IQ";"TOTAL";3895;61,92411;25,748151;"Finland"
"347";"SE";"IQ";"TOTAL";2110;60,128161;18,643501;"Sweden"
